"Frecuencia(Hz)		",mm/Seg(PC)
531.25,0.027812
532.8125,0.027264
534.375,0.032471
535.9375,0.032471
537.5,0.023017
539.0625,0.028086
540.625,0.047678
542.1875,0.036444
543.75,0.028497
545.3125,0.028086
546.875,0.031375
548.4375,0.046034
550,0.031375
551.5625,0.024935
553.125,0.033841
554.6875,0.024935
556.25,0.033293
557.8125,0.037266
559.375,0.053433
560.9375,0.104673
562.5,0.074532
564.0625,0.036444
565.625,0.044116
567.1875,0.032745
568.75,0.04302
570.3125,0.039458
571.875,0.044116
573.4375,0.056173
575,0.08056
576.5625,0.118374
578.125,0.135363
579.6875,0.506378
581.25,0.587487
582.8125,0.207155
584.375,0.094261
585.9375,0.083848
587.5,0.087137
589.0625,0.137007
590.625,0.188522
592.1875,0.096453
593.75,0.137007
595.3125,0.195098
596.875,0.153448
598.4375,0.140295
600,0.121662
601.5625,0.117278
603.125,0.126595
604.6875,0.078916
606.25,0.064393
607.8125,0.061927
609.375,0.047678
610.9375,0.055077
612.5,0.066585
614.0625,0.052885
615.625,0.052337
617.1875,0.066585
618.75,0.064941
620.3125,0.041376
621.875,0.11125
623.4375,0.464728
625,1.508175
626.5625,1.174973
628.125,0.215923
629.6875,0.126595
631.25,0.137007
632.8125,0.178657
634.375,0.110154
635.9375,0.068504
637.5,0.096453
639.0625,0.276206
640.625,0.241133
642.1875,0.072888
643.75,0.053981
645.3125,0.095357
646.875,0.067134
648.4375,0.062749
650,0.11399
651.5625,0.178657
653.125,0.116182
654.6875,0.103577
656.25,0.100837
657.8125,0.107962
659.375,0.115086
660.9375,0.083848
662.5,0.075628
664.0625,0.097549
665.625,0.058639
667.1875,0.02932
668.75,0.034252
670.3125,0.051789
671.875,0.046582
673.4375,0.070148
675,0.070696
676.5625,0.157832
678.125,0.157832
679.6875,0.04028
681.25,0.054529
682.8125,0.048227
684.375,0.03891
685.9375,0.054529
687.5,0.069052
689.0625,0.055625
690.625,0.083848
692.1875,0.058639
693.75,0.064393
695.3125,0.063297
696.875,0.046034
698.4375,0.118374
700,0.215923
701.5625,0.11399
703.125,0.092069
704.6875,0.092069
706.25,0.10577
707.8125,0.074532
709.375,0.066037
710.9375,0.049871
712.5,0.041376
714.0625,0.061927
715.625,0.076724
717.1875,0.043568
718.75,0.034526
720.3125,0.051789
721.875,0.062749
723.4375,0.060831
725,0.055077
726.5625,0.049323
728.125,0.050419
729.6875,0.052885
731.25,0.045486
732.8125,0.042472
734.375,0.043568
735.9375,0.051789
737.5,0.056173
739.0625,0.044664
740.625,0.071792
742.1875,0.070148
743.75,0.041376
745.3125,0.039458
746.875,0.028086
748.4375,0.022332
750,0.02699
751.5625,0.030416
753.125,0.036444
754.6875,0.04713
756.25,0.035622
757.8125,0.024935
759.375,0.038362
760.9375,0.033841
762.5,0.021784
764.0625,0.036444
765.625,0.034526
767.1875,0.044116
768.75,0.048227
770.3125,0.055625
771.875,0.075628
773.4375,0.372659
775,0.377044
776.5625,0.087137
778.125,0.051241
779.6875,0.03617
781.25,0.037814
782.8125,0.037266
784.375,0.04028
785.9375,0.03617
787.5,0.037266
789.0625,0.037814
790.625,0.056173
792.1875,0.059187
793.75,0.049323
795.3125,0.050419
796.875,0.055625
798.4375,0.046582
800,0.043568
801.5625,0.041924
803.125,0.063297
804.6875,0.045486
806.25,0.093165
807.8125,0.064393
809.375,0.041924
