"Frecuencia(Hz)	",mm/Seg(PC)
247.333,0.06823
248.1035,0.16112
248.874,0.044116
249.6445,0.023976
250.415,0.030142
251.1855,0.038362
251.9561,0.038362
252.7266,0.038636
253.4971,0.030827
254.2676,0.02932
255.0381,0.02288
255.8086,0.038362
256.5791,0.042472
257.3496,0.04028
258.1201,0.053707
258.8906,0.049323
259.6611,0.074532
260.4316,0.073436
261.2021,0.04713
261.9727,0.036718
262.7432,0.035074
263.5137,0.043568
264.2842,0.041376
265.0547,0.040554
265.8252,0.044664
266.5957,0.049323
267.3662,0.04028
268.1367,0.038636
268.9072,0.035074
269.6777,0.02932
270.4482,0.027949
271.2188,0.02932
271.9893,0.044664
272.7598,0.042472
273.5303,0.04165
274.3008,0.03343
275.0713,0.029731
275.8418,0.036992
276.6123,0.026853
277.3828,0.027264
278.1533,0.024661
278.9238,0.029046
279.6943,0.025757
280.4648,0.020688
281.2354,0.021784
282.0059,0.019592
282.7764,0.018085
283.5469,0.015208
284.3174,0.020277
285.0879,0.026168
285.8584,0.01877
286.6289,0.014865
287.3994,0.030142
288.1699,0.021784
288.9404,0.055077
289.7109,0.194002
290.4814,0.469112
291.252,0.306896
292.0225,0.073436
292.793,0.047952
293.5635,0.031923
294.334,0.049323
295.1045,0.049323
295.875,0.037266
296.6455,0.038088
297.416,0.033704
298.1865,0.019592
298.957,0.025757
299.7275,0.04576
300.498,0.039184
301.2686,0.028223
302.0391,0.031512
302.8096,0.04028
303.5801,0.026442
304.3506,0.031238
305.1211,0.027949
305.8916,0.02932
306.6621,0.042472
307.4326,0.040554
308.2031,0.052337
308.9736,0.042746
309.7441,0.020688
310.5146,0.023976
311.2852,0.041376
312.0557,0.165505
312.8262,0.754087
313.5967,0.754087
314.3672,0.175369
315.1377,0.033704
315.9082,0.021784
316.6787,0.019181
317.4492,0.020277
318.2197,0.025072
318.9902,0.025072
319.7607,0.019866
320.5313,0.018496
321.3018,0.018496
322.0723,0.056447
322.8428,0.094261
323.6133,0.048501
324.3838,0.031512
325.1543,0.035622
325.9248,0.022058
326.6953,0.017811
327.4658,0.018085
328.2363,0.019592
329.0068,0.020962
329.7773,0.014112
330.5479,0.009385
331.3184,0.019592
332.0889,0.01877
332.8594,0.010481
333.6299,0.011235
334.4004,0.019181
335.1709,0.01877
335.9414,0.016715
336.7119,0.020277
337.4824,0.065215
338.2529,0.120566
339.0234,0.066859
339.7939,0.062475
340.5645,0.03617
341.335,0.028223
342.1055,0.034526
342.876,0.047952
343.6465,0.034526
344.417,0.027949
345.1875,0.024661
345.958,0.057269
346.7285,0.054529
347.499,0.020962
348.2695,0.011235
349.04,0.013769
349.8105,0.013427
350.5811,0.020962
351.3516,0.02288
352.1221,0.016304
352.8926,0.030142
353.6631,0.034115
354.4336,0.060831
355.2041,0.110154
355.9746,0.058639
356.7451,0.01877
357.5156,0.027538
358.2861,0.035074
359.0566,0.026853
359.8271,0.022058
360.5977,0.021373
361.3682,0.029731
362.1387,0.035074
362.9092,0.02932
363.6797,0.017811
364.4502,0.03754
365.2207,0.040554
365.9912,0.028634
366.7617,0.02288
367.5322,0.019181
368.3027,0.029731
369.0732,0.03617
369.8438,0.042746
370.6143,0.039732
371.3848,0.036992
372.1553,0.031238
372.9258,0.023976
373.6963,0.02932
374.4668,0.031512
375.2373,0.02288
376.0078,0.039184
376.7783,0.033704
377.5488,0.039732
378.3193,0.044664
379.0898,0.04302
379.8604,0.058639
380.6309,0.056447
381.4014,0.035622
382.1719,0.021784
382.9424,0.026168
383.7129,0.065215
384.4834,0.073984
385.2539,0.200578
386.0244,0.339778
386.7949,3.57753
387.5654,5.892403
388.3359,2.507779
389.1064,0.287167
389.877,0.111798
390.6475,0.043568
391.418,0.045212
392.1885,0.043842
392.959,0.037266
393.7295,0.031923
394.5,0.034526
395.2705,0.042746
396.041,0.036992
396.8115,0.031238
397.582,0.02425
398.3525,0.025346
399.123,0.030827
399.8936,0.036992
400.6641,0.038088
401.4346,0.025072
402.2051,0.031512
402.9756,0.047952
403.7461,0.064667
404.5166,0.051515
405.2871,0.033704
406.0576,0.048501
406.8281,0.037266
407.5986,0.038088
408.3691,0.031238
409.1396,0.077272
409.9102,0.194002
410.6807,0.138103
411.4512,0.038636
412.2217,0.028223
412.9922,0.030416
413.7627,0.039458
414.5332,0.039184
415.3037,0.04165
416.0742,0.032334
416.8447,0.0348
417.6152,0.035074
418.3857,0.04165
419.1563,0.052885
419.9268,0.058639
420.6973,0.035074
421.4678,0.039732
422.2383,0.053707
423.0088,0.044116
423.7793,0.029731
424.5498,0.027949
425.3203,0.03754
426.0908,0.050693
426.8613,0.038088
427.6318,0.034115
428.4023,0.041924
429.1729,0.0348
429.9434,0.03754
430.7139,0.023976
431.4844,0.030142
432.2549,0.037266
433.0254,0.04165
433.7959,0.03617
434.5664,0.038088
435.3369,0.050693
436.1074,0.051515
436.8779,0.079464
437.6484,0.046308
438.4189,0.048501
439.1895,0.03754
439.96,0.04713
440.7305,0.029731
441.501,0.033019
442.2715,0.052337
443.042,0.076724
443.8125,0.050693
444.583,0.032608
445.3535,0.032608
446.124,0.032608
446.8945,0.036992
447.665,0.046034
448.4355,0.056447
449.2061,0.057269
449.9766,0.066859
450.7471,0.087685
451.5176,0.412117
452.2881,0.521723
453.0586,0.179753
453.8291,0.060831
454.5996,0.103029
455.3701,0.109058
456.1406,0.120566
456.9111,0.15016
457.6816,0.206059
458.4521,0.185234
459.2227,0.130431
459.9932,0.103029
460.7637,0.101385
461.5342,0.162216
462.3047,0.133719
463.0752,0.06823
463.8457,0.109058
464.6162,0.133719
465.3867,0.154544
466.1572,0.178657
466.9277,0.147968
467.6982,0.138103
468.4688,0.116182
469.2393,0.087685
470.0098,0.055077
470.7803,0.061653
471.5508,0.056447
472.3213,0.038362
473.0918,0.054529
473.8623,0.062475
474.6328,0.047952
475.4033,0.04165
476.1738,0.04165
476.9443,0.055077
477.7148,0.206059
478.4854,0.34197
479.2559,0.158928
480.0264,0.064667
480.7969,0.055899
481.5674,0.058091
482.3379,0.077272
483.1084,0.234556
483.8789,1.104826
484.6494,1.218816
485.4199,0.38362
486.1904,0.15016
486.9609,0.139199
487.7314,0.101385
488.502,0.046034
489.2725,0.026442
490.043,0.056447
490.8135,0.052337
491.584,0.035896
492.3545,0.07234
493.125,0.081108
493.8955,0.049323
494.666,0.047952
495.4365,0.053707
496.207,0.063845
496.9775,0.08056
497.748,0.0696
498.5186,0.052337
499.2891,0.058091
500.0596,0.074532
500.8301,0.134815
501.6006,0.107414
502.3711,0.057269
503.1416,0.057269
503.9121,0.045212
504.6826,0.041376
505.4531,0.067408
506.2236,0.063023
506.9941,0.100289
507.7646,0.085492
508.5352,0.067408
509.3057,0.050693
510.0762,0.055077
510.8467,0.07234
511.6172,0.084944
512.3877,0.092617
513.1582,0.087685
513.9287,0.100289
514.6992,0.103029
515.4697,0.185234
516.2402,0.679555
517.0107,0.688324
517.7813,0.209347
518.5518,0.094261
519.3223,0.040828
520.0928,0.059461
520.8633,0.060283
521.6338,0.095905
522.4043,0.143583
523.1748,0.074532
523.9453,0.07508
524.7158,0.074532
525.4863,0.094261
526.2568,0.097001
527.0273,0.077272
527.7979,0.059461
528.5684,0.110154
529.3389,0.206059
530.1094,0.165505
530.8799,0.07508
531.6504,0.118922
532.4209,0.100289
533.1914,0.069052
533.9619,0.066037
534.7324,0.127691
535.5029,0.200578
536.2734,0.153448
537.0439,0.055077
537.8145,0.067408
538.585,0.097001
539.3555,0.07508
540.126,0.07234
540.8965,0.078368
541.667,0.08604
542.4375,0.08056
543.208,0.055077
543.9785,0.050693
544.749,0.04713
545.5195,0.058639
546.29,0.060283
547.0605,0.100289
547.8311,0.092069
548.6016,0.16112
549.3721,0.143583
550.1426,0.07234
550.9131,0.089877
551.6836,0.103029
552.4541,0.10577
553.2246,0.074532
553.9951,0.062475
554.7656,0.038088
555.5361,0.078368
556.3066,0.0696
557.0771,0.055899
557.8477,0.089877
558.6182,0.100289
559.3887,0.092069
560.1592,0.0833
560.9297,0.081108
561.7002,0.088233
562.4707,0.073984
563.2412,0.066859
564.0117,0.081656
564.7822,0.082752
565.5527,0.063023
566.3232,0.06823
567.0938,0.041924
567.8643,0.067408
568.6348,0.050145
569.4053,0.041376
570.1758,0.031238
570.9463,0.030827
571.7168,0.039732
572.4873,0.044116
573.2578,0.043568
574.0283,0.040554
574.7988,0.097001
575.5693,0.10577
576.3398,0.045212
577.1104,0.038636
577.8809,0.049323
578.6514,0.041924
579.4219,0.067408
580.1924,0.178657
580.9629,0.600639
581.7334,0.534876
582.5039,0.183042
583.2744,0.078368
584.0449,0.052885
584.8154,0.063023
585.5859,0.055077
586.3564,0.076176
587.127,0.08056
587.8975,0.089329
588.668,0.111798
589.4385,0.08604
590.209,0.08604
590.9795,0.097001
591.75,0.087685
592.5205,0.088233
593.291,0.088233
594.0615,0.100289
594.832,0.07508
595.6025,0.070148
596.373,0.098645
597.1436,0.15016
597.9141,0.218115
598.6846,0.175369
599.4551,0.138103
600.2256,0.200578
600.9961,0.153448
601.7666,0.142487
602.5371,0.134815
603.3076,0.184138
604.0781,0.202771
604.8486,0.188522
605.6191,0.19181
606.3896,0.163313
607.1602,0.162216
607.9307,0.109058
608.7012,0.078916
609.4717,0.094261
610.2422,0.074532
611.0127,0.060831
611.7832,0.082752
612.5537,0.087137
613.3242,0.209347
614.0947,0.209347
614.8652,0.082752
615.6357,0.112894
616.4063,0.169889
617.1768,0.085492
617.9473,0.073436
618.7178,0.087685
619.4883,0.053707
620.2588,0.035622
621.0293,0.055899
621.7998,0.04713
622.5703,0.046308
623.3408,0.041376
624.1113,0.047952
624.8818,0.058091
625.6523,0.284975
626.4229,0.493226
627.1934,0.278399
627.9639,0.076724
628.7344,0.060831
629.5049,0.071244
630.2754,0.082752
631.0459,0.067408
631.8164,0.052885
632.5869,0.040828
633.3574,0.063023
634.1279,0.063023
634.8984,0.027264
635.6689,0.055899
636.4395,0.053707
637.21,0.032608
637.9805,0.048501
638.751,0.074532
639.5215,0.060831
640.292,0.043842
641.0625,0.031512
641.833,0.037266
642.6035,0.038636
643.374,0.039458
644.1445,0.031238
644.915,0.058091
645.6855,0.120566
646.4561,0.076176
647.2266,0.038088
647.9971,0.039184
648.7676,0.044116
649.5381,0.044938
650.3086,0.032608
651.0791,0.041376
651.8496,0.066037
652.6201,0.084944
653.3906,0.04713
654.1611,0.026853
654.9316,0.021373
655.7021,0.025346
656.4727,0.03343
657.2432,0.04165
658.0137,0.04028
658.7842,0.094261
659.5547,0.123306
660.3252,0.061653
661.0957,0.112894
661.8662,0.15016
662.6367,0.056447
663.4072,0.029731
664.1777,0.019866
664.9482,0.021373
665.7188,0.018496
666.4893,0.015619
667.2598,0.021373
668.0303,0.025346
668.8008,0.026168
669.5713,0.025757
