Frecuencia(Hz),mm/Seg(PC)
3.125,0.405541
4.6875,0.328817
6.25,0.366083
7.8125,0.366083
9.375,0.56995
10.9375,0.79793
12.5,0.480073
14.0625,1.350342
15.625,1.464332
17.1875,0.486649
18.75,0.326625
20.3125,0.267438
21.875,0.30032
23.4375,0.23346
25,0.22798
26.5625,0.255381
28.125,0.23346
29.6875,0.22798
31.25,0.261958
32.8125,0.261958
34.375,0.173177
35.9375,0.252093
37.5,0.26415
39.0625,0.212635
40.625,0.240037
42.1875,0.214827
43.75,0.196194
45.3125,0.218115
46.875,1.341574
48.4375,6.243141
50,5.997624
51.5625,1.10921
53.125,0.240037
54.6875,0.07508
56.25,0.107414
57.8125,0.126047
59.375,0.172081
60.9375,0.106318
62.5,0.245517
64.0625,0.548029
65.625,0.381428
67.1875,0.097549
68.75,0.081656
70.3125,0.082204
71.875,0.11673
73.4375,0.587487
75,0.657634
76.5625,0.172081
78.125,0.07508
79.6875,0.054529
81.25,0.175369
82.8125,0.163313
84.375,0.061379
85.9375,0.069874
87.5,0.084396
89.0625,0.121662
90.625,0.097001
92.1875,0.060009
93.75,0.062201
95.3125,0.626945
96.875,1.069752
98.4375,0.480073
100,0.130979
101.5625,0.095905
103.125,0.062201
104.6875,0.065489
106.25,0.08056
107.8125,0.078916
109.375,0.050693
110.9375,0.082752
112.5,0.067682
114.0625,0.060831
115.625,0.066037
117.1875,0.058365
118.75,0.08056
120.3125,0.07508
121.875,0.044116
123.4375,0.057543
125,0.065489
126.5625,0.048775
128.125,0.054529
129.6875,0.08604
131.25,0.07508
132.8125,0.089329
134.375,0.093713
135.9375,0.076176
137.5,0.066859
139.0625,0.07234
140.625,0.109058
142.1875,0.195098
143.75,0.42527
145.3125,0.548029
146.875,1.082904
148.4375,0.885614
150,0.388004
151.5625,0.429654
153.125,0.240037
154.6875,0.195098
156.25,0.15564
157.8125,0.156736
159.375,0.178657
160.9375,0.243325
162.5,0.289359
164.0625,0.279495
165.625,0.255381
167.1875,0.284975
168.75,0.328817
170.3125,0.436231
171.875,0.558989
173.4375,0.701477
175,0.754087
176.5625,0.946993
178.125,0.85054
179.6875,0.372659
181.25,0.30032
182.8125,0.270726
184.375,0.304704
185.9375,0.359507
187.5,0.320049
189.0625,0.30032
190.625,0.337586
192.1875,0.859309
193.75,1.139899
195.3125,0.596255
196.875,0.442807
198.4375,0.248805
200,0.261958
201.5625,0.165505
203.125,0.138651
204.6875,0.141391
206.25,0.101385
207.8125,0.173177
209.375,0.22798
210.9375,0.164409
212.5,0.137007
214.0625,0.110702
215.625,0.091521
217.1875,0.073436
218.75,0.060831
220.3125,0.043294
221.875,0.064667
223.4375,0.087685
225,0.11399
226.5625,0.090425
228.125,0.118374
229.6875,0.103029
231.25,0.091521
232.8125,0.090425
234.375,0.087685
235.9375,0.110702
237.5,0.130979
239.0625,0.121662
240.625,0.109058
242.1875,0.110702
243.75,0.146872
245.3125,0.326625
246.875,0.261958
248.4375,0.139747
250,0.095357
251.5625,0.115086
253.125,0.11399
254.6875,0.126047
256.25,0.098097
257.8125,0.121662
259.375,0.099741
260.9375,0.141391
262.5,0.149064
264.0625,0.11399
265.625,0.103029
267.1875,0.103029
268.75,0.093165
