Frecuencia(Hz),"	mm/Seg(PC)"
247.333,0.023565
248.1035,0.021099
248.874,0.021373
249.6445,0.023839
250.415,0.01877
251.1855,0.015276
251.9561,0.024387
252.7266,0.036718
253.4971,0.026579
254.2676,0.019592
255.0381,0.026579
255.8086,0.03754
256.5791,0.023291
257.3496,0.021784
258.1201,0.027538
258.8906,0.018359
259.6611,0.027538
260.4316,0.030416
261.2021,0.026305
261.9727,0.028634
262.7432,0.026031
263.5137,0.026579
264.2842,0.017811
265.0547,0.01555
265.8252,0.015824
266.5957,0.011303
267.3662,0.020825
268.1367,0.030827
268.9072,0.02288
269.6777,0.017811
270.4482,0.017331
271.2188,0.02288
271.9893,0.027401
272.7598,0.014797
273.5303,0.027127
274.3008,0.039184
275.0713,0.061653
275.8418,0.028086
276.6123,0.020277
277.3828,0.022058
278.1533,0.029046
278.9238,0.021784
279.6943,0.019044
280.4648,0.020551
281.2354,0.026305
282.0059,0.032197
282.7764,0.020825
283.5469,0.022606
284.3174,0.019044
285.0879,0.01555
285.8584,0.014797
286.6289,0.016098
287.3994,0.016578
288.1699,0.019592
288.9404,0.02932
289.7109,0.08604
290.4814,0.156736
291.252,0.080012
292.0225,0.029868
292.793,0.015824
293.5635,0.013769
294.334,0.012536
295.1045,0.016304
295.875,0.018359
296.6455,0.052611
297.416,0.080012
298.1865,0.03617
298.957,0.020551
299.7275,0.017537
300.498,0.017057
301.2686,0.019318
302.0391,0.023017
302.8096,0.022058
303.5801,0.019866
304.3506,0.020825
305.1211,0.028634
305.8916,0.034663
306.6621,0.02932
307.4326,0.02288
308.2031,0.016578
308.9736,0.016578
309.7441,0.013564
310.5146,0.017057
311.2852,0.02151
312.0557,0.103577
312.8262,0.2225
313.5967,0.134815
314.3672,0.01877
315.1377,0.021099
315.9082,0.020003
316.6787,0.015276
317.4492,0.015824
318.2197,0.019044
318.9902,0.020551
319.7607,0.023291
320.5313,0.019592
321.3018,0.014317
322.0723,0.018496
322.8428,0.022606
323.6133,0.021099
324.3838,0.016098
325.1543,0.01329
325.9248,0.017811
326.6953,0.019044
327.4658,0.024113
328.2363,0.045212
329.0068,0.042198
329.7773,0.016304
330.5479,0.01329
331.3184,0.011509
332.0889,0.013769
332.8594,0.011303
333.6299,0.016852
334.4004,0.014797
335.1709,0.020551
335.9414,0.025072
336.7119,0.016578
337.4824,0.040554
338.2529,0.055625
339.0234,0.036992
339.7939,0.042746
340.5645,0.022058
341.335,0.012536
342.1055,0.017057
342.876,0.029046
343.6465,0.025072
344.417,0.017331
345.1875,0.026305
345.958,0.048227
346.7285,0.030553
347.499,0.014523
348.2695,0.01055
349.04,0.020277
349.8105,0.020277
350.5811,0.021784
351.3516,0.02288
352.1221,0.016852
352.8926,0.017537
353.6631,0.01555
354.4336,0.017331
355.2041,0.016578
355.9746,0.014317
356.7451,0.009522
357.5156,0.012536
358.2861,0.014523
359.0566,0.01281
359.8271,0.013564
360.5977,0.018085
361.3682,0.01877
362.1387,0.01877
362.9092,0.013769
363.6797,0.017811
364.4502,0.023017
365.2207,0.017811
365.9912,0.019044
366.7617,0.020825
367.5322,0.027127
368.3027,0.025072
369.0732,0.018496
369.8438,0.016098
