Frecuencia(Hz),"	mm/Seg(PC)"
247.333,0.175369
248.1035,0.095357
248.874,0.095357
249.6445,0.11673
250.415,0.095905
251.1855,0.067956
251.9561,0.026853
252.7266,0.051241
253.4971,0.046034
254.2676,0.082752
255.0381,0.064667
255.8086,0.04302
256.5791,0.053707
257.3496,0.129335
258.1201,0.134267
258.8906,0.050145
259.6611,0.052885
260.4316,0.070148
261.2021,0.073984
261.9727,0.040554
262.7432,0.040554
263.5137,0.034252
264.2842,0.04165
265.0547,0.059187
265.8252,0.041376
266.5957,0.031101
267.3662,0.042472
268.1367,0.04439
268.9072,0.044116
269.6777,0.046582
270.4482,0.046034
271.2188,0.046582
271.9893,0.054529
272.7598,0.049323
273.5303,0.047952
274.3008,0.07234
275.0713,0.064667
275.8418,0.046856
276.6123,0.045212
277.3828,0.036718
278.1533,0.047678
278.9238,0.04165
279.6943,0.037266
280.4648,0.04576
281.2354,0.042472
282.0059,0.03617
282.7764,0.032745
283.5469,0.030416
284.3174,0.023839
285.0879,0.022058
285.8584,0.027949
286.6289,0.044938
287.3994,0.046034
288.1699,0.079464
288.9404,0.122758
289.7109,0.381428
290.4814,0.339778
291.252,0.126047
292.0225,0.089877
292.793,0.064667
293.5635,0.070148
294.334,0.027264
295.1045,0.028771
295.875,0.031512
296.6455,0.036992
297.416,0.027264
298.1865,0.027538
298.957,0.02288
299.7275,0.052063
300.498,0.054529
301.2686,0.031512
302.0391,0.027264
302.8096,0.027264
303.5801,0.03891
304.3506,0.047404
305.1211,0.051241
305.8916,0.039458
306.6621,0.038088
307.4326,0.051241
308.2031,0.031512
308.9736,0.045212
309.7441,0.044938
310.5146,0.042198
311.2852,0.141391
312.0557,0.88123
312.8262,1.021525
313.5967,0.268534
314.3672,0.064667
315.1377,0.030005
315.9082,0.03069
316.6787,0.019729
317.4492,0.02836
318.2197,0.035896
318.9902,0.03617
319.7607,0.027264
320.5313,0.023428
321.3018,0.036992
322.0723,0.07234
322.8428,0.055077
323.6133,0.029594
324.3838,0.019455
325.1543,0.02151
325.9248,0.023976
326.6953,0.02151
327.4658,0.024661
328.2363,0.019729
329.0068,0.016578
329.7773,0.016783
330.5479,0.016578
331.3184,0.017537
332.0889,0.030416
332.8594,0.03069
333.6299,0.023428
334.4004,0.031923
335.1709,0.027264
335.9414,0.014386
336.7119,0.019866
337.4824,0.04439
338.2529,0.036992
339.0234,0.039732
339.7939,0.027264
340.5645,0.016578
341.335,0.023976
342.1055,0.034252
342.876,0.029594
343.6465,0.047404
344.417,0.058365
345.1875,0.065489
345.958,0.08056
346.7285,0.030416
347.499,0.02425
348.2695,0.022195
349.04,0.017948
349.8105,0.019729
350.5811,0.019866
351.3516,0.022195
352.1221,0.02562
352.8926,0.070148
353.6631,0.074532
354.4336,0.067956
355.2041,0.04302
355.9746,0.017331
356.7451,0.015756
357.5156,0.02425
358.2861,0.015961
359.0566,0.013427
359.8271,0.019729
360.5977,0.021921
361.3682,0.024387
362.1387,0.019866
362.9092,0.014797
363.6797,0.021647
364.4502,0.033567
365.2207,0.03617
365.9912,0.023976
366.7617,0.021236
367.5322,0.03069
368.3027,0.026031
369.0732,0.022195
369.8438,0.019318
370.6143,0.031923
371.3848,0.039732
372.1553,0.023017
372.9258,0.019455
373.6963,0.017126
374.4668,0.016167
375.2373,0.023839
376.0078,0.023017
376.7783,0.016167
377.5488,0.019455
378.3193,0.01281
379.0898,0.015208
379.8604,0.015756
380.6309,0.023291
381.4014,0.032334
382.1719,0.027264
382.9424,0.02562
383.7129,0.031101
384.4834,0.082752
385.2539,0.127691
386.0244,1.157436
386.7949,2.016745
387.5654,0.872461
388.3359,0.132623
389.1064,0.0833
389.877,0.030005
390.6475,0.030416
391.418,0.033156
392.1885,0.026853
392.959,0.029594
393.7295,0.02836
394.5,0.020688
395.2705,0.022195
396.041,0.02562
396.8115,0.032745
397.582,0.033156
398.3525,0.029183
399.123,0.025072
399.8936,0.04302
400.6641,0.035348
401.4346,0.026853
402.2051,0.049597
402.9756,0.04028
403.7461,0.027538
404.5166,0.031512
405.2871,0.03617
406.0576,0.026853
406.8281,0.031101
407.5986,0.033978
408.3691,0.081656
409.1396,0.165505
409.9102,0.100289
410.6807,0.031923
411.4512,0.048501
412.2217,0.053707
412.9922,0.035896
413.7627,0.031512
414.5332,0.036992
415.3037,0.032334
416.0742,0.042198
416.8447,0.052063
417.6152,0.044116
418.3857,0.110154
419.1563,0.137007
419.9268,0.055077
420.6973,0.060009
421.4678,0.045212
422.2383,0.051241
423.0088,0.037814
423.7793,0.054529
424.5498,0.059187
425.3203,0.066311
426.0908,0.078916
426.8613,0.064667
427.6318,0.057543
428.4023,0.08604
429.1729,0.073984
429.9434,0.055077
430.7139,0.070696
431.4844,0.118374
432.2549,0.090425
433.0254,0.058365
433.7959,0.071792
434.5664,0.104125
435.3369,0.190714
436.1074,0.23346
436.8779,0.097001
437.6484,0.097001
438.4189,0.077272
439.1895,0.07234
439.96,0.086589
440.7305,0.0833
441.501,0.076176
442.2715,0.152352
443.042,0.115086
443.8125,0.066311
444.583,0.064667
445.3535,0.068504
446.124,0.08056
446.8945,0.084396
447.665,0.086589
448.4355,0.060831
449.2061,0.062201
449.9766,0.084396
450.7471,0.394581
451.5176,0.423078
452.2881,0.11673
453.0586,0.055899
453.8291,0.074532
454.5996,0.050145
455.3701,0.027538
456.1406,0.052885
456.9111,0.110154
457.6816,0.091521
458.4521,0.081108
459.2227,0.068504
459.9932,0.066311
460.7637,0.076176
461.5342,0.100837
462.3047,0.109058
463.0752,0.088781
463.8457,0.08604
464.6162,0.087685
465.3867,0.07782
466.1572,0.046856
466.9277,0.060831
467.6982,0.095905
468.4688,0.11673
469.2393,0.073984
470.0098,0.050419
470.7803,0.070148
471.5508,0.069326
472.3213,0.057543
473.0918,0.066311
473.8623,0.054529
474.6328,0.043842
475.4033,0.03891
476.1738,0.048501
476.9443,0.050145
477.7148,0.056721
478.4854,0.08056
479.2559,0.040828
480.0264,0.04576
480.7969,0.040554
481.5674,0.084944
482.3379,0.23346
483.1084,0.776008
483.8789,0.648866
484.6494,0.095357
485.4199,0.064667
486.1904,0.087685
486.9609,0.062201
487.7314,0.032334
488.502,0.038088
489.2725,0.027538
490.043,0.030005
490.8135,0.023428
491.584,0.017948
492.3545,0.022469
493.125,0.025209
493.8955,0.031512
494.666,0.025209
495.4365,0.030416
496.207,0.051241
496.9775,0.024387
497.748,0.014797
498.5186,0.027264
499.2891,0.03617
500.0596,0.038636
500.8301,0.02836
501.6006,0.030005
502.3711,0.04439
503.1416,0.024661
503.9121,0.013975
504.6826,0.01418
505.4531,0.031512
506.2236,0.035074
506.9941,0.024661
507.7646,0.025072
508.5352,0.023839
509.3057,0.022606
510.0762,0.023291
510.8467,0.015756
511.6172,0.013016
512.3877,0.020688
513.1582,0.023017
513.9287,0.02151
514.6992,0.081108
515.4697,0.198386
516.2402,0.129335
517.0107,0.029594
517.7813,0.025072
518.5518,0.031923
519.3223,0.02151
520.0928,0.021647
520.8633,0.034252
521.6338,0.041376
522.4043,0.029183
523.1748,0.018633
523.9453,0.020277
524.7158,0.024661
525.4863,0.038088
526.2568,0.038088
527.0273,0.035348
527.7979,0.064667
528.5684,0.086589
529.3389,0.036718
530.1094,0.037814
530.8799,0.052885
531.6504,0.030005
532.4209,0.04165
533.1914,0.026031
533.9619,0.03617
534.7324,0.033567
535.5029,0.03617
536.2734,0.027949
537.0439,0.039458
537.8145,0.051241
538.585,0.035074
539.3555,0.030416
540.126,0.074532
540.8965,0.115086
541.667,0.060831
542.4375,0.054529
543.208,0.048501
543.9785,0.051241
544.749,0.054529
545.5195,0.047404
546.29,0.056721
547.0605,0.053707
547.8311,0.069326
548.6016,0.055077
549.3721,0.052063
550.1426,0.063845
550.9131,0.113442
551.6836,0.092069
552.4541,0.064667
553.2246,0.046034
553.9951,0.056721
554.7656,0.066311
555.5361,0.064667
556.3066,0.070148
557.0771,0.066311
557.8477,0.0833
558.6182,0.110154
559.3887,0.118374
560.1592,0.14468
560.9297,0.120018
561.7002,0.079464
562.4707,0.060831
563.2412,0.066311
564.0117,0.11673
564.7822,0.162216
565.5527,0.104125
566.3232,0.079464
567.0938,0.07234
567.8643,0.090425
568.6348,0.08604
569.4053,0.07234
570.1758,0.052885
570.9463,0.054529
571.7168,0.065489
572.4873,0.044938
573.2578,0.042472
574.0283,0.036718
574.7988,0.036992
575.5693,0.039732
576.3398,0.04165
577.1104,0.044116
577.8809,0.049597
578.6514,0.070148
579.4219,0.168793
580.1924,0.268534
580.9629,0.113442
581.7334,0.055899
582.5039,0.061379
583.2744,0.065489
584.0449,0.041376
584.8154,0.032745
585.5859,0.020414
586.3564,0.015345
587.127,0.027538
587.8975,0.027538
588.668,0.02151
589.4385,0.052885
590.209,0.064667
590.9795,0.034252
