Frecuencia(Hz),"	mm/Seg(PC)"
531.25,0.062749
532.8125,0.058091
534.375,0.149064
535.9375,0.139747
537.5,0.054255
539.0625,0.047404
540.625,0.087137
542.1875,0.087137
543.75,0.052611
545.3125,0.076724
546.875,0.092069
548.4375,0.078368
550,0.166601
551.5625,0.174273
553.125,0.100289
554.6875,0.088781
556.25,0.099741
557.8125,0.080012
559.375,0.0833
560.9375,0.10851
562.5,0.100289
564.0625,0.105221
565.625,0.094261
567.1875,0.093165
568.75,0.103577
570.3125,0.089329
571.875,0.055625
573.4375,0.065215
575,0.069874
576.5625,0.087137
578.125,0.142487
579.6875,0.232364
581.25,0.169889
582.8125,0.105221
584.375,0.101933
585.9375,0.117826
587.5,0.07782
589.0625,0.085492
590.625,0.083848
592.1875,0.0833
593.75,0.07508
595.3125,0.079464
596.875,0.110154
598.4375,0.100289
600,0.074532
601.5625,0.0833
603.125,0.095905
604.6875,0.071244
606.25,0.056447
607.8125,0.055625
609.375,0.053433
610.9375,0.055625
612.5,0.064393
614.0625,0.082204
615.625,0.071244
617.1875,0.055625
618.75,0.04439
620.3125,0.061379
621.875,0.095905
623.4375,0.88123
625,1.560785
626.5625,0.740935
628.125,0.106866
629.6875,0.062749
631.25,0.061379
632.8125,0.072888
634.375,0.048775
635.9375,0.049049
637.5,0.048775
639.0625,0.055625
640.625,0.053433
642.1875,0.04028
643.75,0.067408
645.3125,0.067408
646.875,0.043568
648.4375,0.04302
650,0.054255
651.5625,0.061379
653.125,0.044664
654.6875,0.032608
656.25,0.049871
657.8125,0.061927
659.375,0.034526
660.9375,0.025894
662.5,0.035622
664.0625,0.038362
665.625,0.03754
667.1875,0.033704
668.75,0.030279
670.3125,0.032197
671.875,0.031375
673.4375,0.032608
675,0.069874
676.5625,0.122758
678.125,0.094809
679.6875,0.039732
681.25,0.03891
682.8125,0.056447
684.375,0.04165
685.9375,0.028223
687.5,0.027538
689.0625,0.028223
690.625,0.042472
692.1875,0.063571
693.75,0.064393
695.3125,0.044664
696.875,0.047952
698.4375,0.117826
700,0.106866
701.5625,0.040828
703.125,0.048227
704.6875,0.038088
706.25,0.027127
707.8125,0.040006
709.375,0.054255
710.9375,0.033019
712.5,0.029457
714.0625,0.046582
715.625,0.045212
717.1875,0.019592
718.75,0.015687
720.3125,0.02151
721.875,0.037266
723.4375,0.095905
725,0.098645
726.5625,0.03617
728.125,0.039732
729.6875,0.037266
731.25,0.04028
732.8125,0.041102
734.375,0.027538
735.9375,0.032197
