Frecuencia(Hz),"	mm/Seg(PC)"
0.3125,0.056173
0.46875,0.056173
0.625,0.110702
0.78125,0.094809
0.9375,0.103577
1.09375,0.056173
1.25,0.056173
1.40625,0.113442
1.5625,0.092617
1.71875,0.105221
1.875,0.113442
2.03125,0.08056
2.1875,0.070696
2.34375,0.073984
2.5,0.046308
2.65625,0.049597
2.8125,0.057269
2.96875,0.052611
3.125,0.053159
3.28125,0.057269
3.4375,0.057269
3.59375,0.048227
3.75,0.027401
3.90625,0.027264
4.0625,0.041924
4.21875,0.041376
4.375,0.053159
4.53125,0.044664
4.6875,0.029457
4.84375,0.03754
5,0.041924
5.15625,0.041924
5.3125,0.034389
5.46875,0.0348
5.625,0.038362
5.78125,0.031238
5.9375,0.021647
6.09375,0.025894
6.25,0.028634
6.40625,0.027949
6.5625,0.032197
6.71875,0.030827
6.875,0.024524
7.03125,0.016509
7.1875,0.0174
7.34375,0.020277
7.5,0.014523
7.65625,0.012057
7.8125,0.01007
7.96875,0.013153
8.125,0.016509
8.28125,0.015413
8.4375,0.014934
8.59375,0.013975
8.75,0.016989
8.90625,0.018496
9.0625,0.02014
9.21875,0.016989
9.375,0.014317
9.53125,0.016304
9.6875,0.019455
9.84375,0.019181
10,0.016509
10.15625,0.01877
10.3125,0.018496
10.46875,0.017811
10.625,0.013632
10.78125,0.010481
10.9375,0.01329
11.09375,0.009111
11.25,0.009453
11.40625,0.006987
11.5625,0.006405
11.71875,0.007809
11.875,0.007022
12.03125,0.007809
12.1875,0.007467
12.34375,0.005789
12.5,0.007364
12.65625,0.007159
12.8125,0.007261
12.96875,0.008494
13.125,0.009591
13.28125,0.01192
13.4375,0.010481
13.59375,0.008905
13.75,0.008049
13.90625,0.008255
14.0625,0.011509
14.21875,0.013084
14.375,0.009933
14.53125,0.008597
14.6875,0.008049
14.84375,0.005652
15,0.005343
15.15625,0.007467
15.3125,0.006371
15.46875,0.006234
15.625,0.005343
15.78125,0.004453
15.9375,0.003494
16.09375,0.002757
16.25,0.003511
16.40625,0.00274
16.5625,0.003237
16.71875,0.004127
16.875,0.002278
17.03125,0.002012
17.1875,0.001644
17.34375,0.0031
17.5,0.003733
17.65625,0.002098
17.8125,0.001618
17.96875,0.002569
18.125,0.003117
18.28125,0.003545
18.4375,0.002432
18.59375,0.002483
18.75,0.002432
18.90625,0.003203
19.0625,0.003425
19.21875,0.002038
19.375,0.002038
19.53125,0.003459
19.6875,0.003237
19.84375,0.002149
20,0.001952
20.15625,0.001661
20.3125,0.001687
20.46875,0.001713
20.625,0.001841
20.78125,0.001284
20.9375,0.000976
21.09375,0.001439
21.25,0.001773
21.40625,0.002098
21.5625,0.001901
21.71875,0.002432
21.875,0.00262
22.03125,0.002226
22.1875,0.002518
22.34375,0.002278
22.5,0.00131
22.65625,0.001396
22.8125,0.001524
22.96875,0.001447
23.125,0.002175
23.28125,0.002877
23.4375,0.003271
23.59375,0.003066
23.75,0.003733
23.90625,0.003322
24.0625,0.002843
24.21875,0.003579
24.375,0.011303
24.53125,0.013838
24.6875,0.006028
24.84375,0.004076
25,0.002586
25.15625,0.002483
25.3125,0.00274
25.46875,0.003374
25.625,0.002398
25.78125,0.002278
25.9375,0.002064
26.09375,0.001901
26.25,0.001464
26.40625,0.001601
26.5625,0.001687
26.71875,0.001593
26.875,0.001644
27.03125,0.001379
27.1875,0.001284
27.34375,0.001558
27.5,0.001704
27.65625,0.001447
27.8125,0.001901
27.96875,0.001713
28.125,0.002312
28.28125,0.001755
28.4375,0.00137
28.59375,0.001576
28.75,0.001593
28.90625,0.001952
29.0625,0.001841
29.21875,0.001353
29.375,0.002449
29.53125,0.003579
29.6875,0.002449
29.84375,0.002098
30,0.002098
30.15625,0.002261
30.3125,0.001507
30.46875,0.001867
30.625,0.001841
30.78125,0.001978
30.9375,0.002398
31.09375,0.002098
31.25,0.002518
31.40625,0.002149
31.5625,0.001464
31.71875,0.001952
31.875,0.002449
32.03125,0.002449
32.1875,0.001927
32.34375,0.001644
32.5,0.001524
32.65625,0.002149
32.8125,0.002064
32.96875,0.002757
33.125,0.003271
33.28125,0.003853
33.4375,0.003117
33.59375,0.002261
33.75,0.002672
33.90625,0.00274
34.0625,0.00173
34.21875,0.001901
34.375,0.001927
34.53125,0.001644
34.6875,0.001644
34.84375,0.002432
35,0.003631
35.15625,0.004418
35.3125,0.002449
35.46875,0.001687
35.625,0.001901
35.78125,0.002363
35.9375,0.002261
36.09375,0.001978
36.25,0.002098
36.40625,0.001636
36.5625,0.001952
36.71875,0.001952
36.875,0.001601
37.03125,0.002877
37.1875,0.003048
37.34375,0.002012
37.5,0.014317
37.65625,0.023428
37.8125,0.011372
37.96875,0.006097
38.125,0.002363
38.28125,0.00262
38.4375,0.002363
38.59375,0.00274
38.75,0.00173
38.90625,0.001524
39.0625,0.001533
39.21875,0.003357
39.375,0.003733
39.53125,0.003408
39.6875,0.002518
39.84375,0.001713
40,0.001747
40.15625,0.001713
40.3125,0.002175
40.46875,0.001841
40.625,0.002175
40.78125,0.002843
40.9375,0.002209
41.09375,0.002175
41.25,0.002278
41.40625,0.002483
41.5625,0.002518
41.71875,0.003203
41.875,0.002757
42.03125,0.00179
42.1875,0.001747
42.34375,0.001978
42.5,0.002209
42.65625,0.002261
42.8125,0.001815
42.96875,0.002278
43.125,0.001678
43.28125,0.001413
43.4375,0.002124
43.59375,0.003322
43.75,0.004127
43.90625,0.002363
44.0625,0.002278
44.21875,0.002098
44.375,0.002398
44.53125,0.002432
44.6875,0.002278
44.84375,0.003374
45,0.005138
45.15625,0.004624
45.3125,0.002038
45.46875,0.003066
45.625,0.00298
45.78125,0.002175
45.9375,0.002757
46.09375,0.002792
46.25,0.002149
46.40625,0.002346
46.5625,0.004521
46.71875,0.003905
46.875,0.00596
47.03125,0.00685
47.1875,0.003408
47.34375,0.00298
47.5,0.003631
47.65625,0.004727
47.8125,0.003322
47.96875,0.003853
48.125,0.007604
48.28125,0.006371
48.4375,0.004727
48.59375,0.002843
48.75,0.003117
48.90625,0.008905
49.0625,0.008152
49.21875,0.004692
49.375,0.009933
49.53125,0.012742
49.6875,0.004299
49.84375,0.015208
50,0.022058
50.15625,0.008392
50.3125,0.003511
50.46875,0.002586
50.625,0.00262
50.78125,0.002655
50.9375,0.0031
51.09375,0.002706
51.25,0.001927
51.40625,0.001901
51.5625,0.002098
51.71875,0.002843
51.875,0.00274
52.03125,0.002012
52.1875,0.001841
52.34375,0.001687
52.5,0.001713
52.65625,0.001747
52.8125,0.002012
52.96875,0.001755
53.125,0.001447
53.28125,0.001353
53.4375,0.001927
53.59375,0.001952
53.75,0.001773
53.90625,0.002124
54.0625,0.001867
54.21875,0.001952
54.375,0.001687
54.53125,0.002038
54.6875,0.002792
54.84375,0.002672
55,0.00179
55.15625,0.001841
55.3125,0.001978
55.46875,0.002038
55.625,0.001661
55.78125,0.002149
55.9375,0.003631
56.09375,0.002757
56.25,0.002012
56.40625,0.002432
56.5625,0.002098
56.71875,0.002209
56.875,0.002064
57.03125,0.002432
57.1875,0.002843
57.34375,0.001901
57.5,0.002098
57.65625,0.003066
57.8125,0.003048
57.96875,0.002064
58.125,0.003288
58.28125,0.003066
58.4375,0.00298
58.59375,0.004025
58.75,0.003853
58.90625,0.008392
59.0625,0.006405
59.21875,0.003288
59.375,0.004299
59.53125,0.005309
59.6875,0.01007
59.84375,0.006816
60,0.007261
60.15625,0.011166
60.3125,0.008837
60.46875,0.004692
60.625,0.002124
60.78125,0.003545
60.9375,0.003853
61.09375,0.004127
61.25,0.00435
61.40625,0.002929
61.5625,0.003802
61.71875,0.003853
61.875,0.003014
62.03125,0.004967
62.1875,0.006131
62.34375,0.004076
62.5,0.004453
62.65625,0.00435
62.8125,0.004692
62.96875,0.004247
63.125,0.005035
63.28125,0.006131
63.4375,0.007707
63.59375,0.006542
63.75,0.0062
63.90625,0.00548
64.0625,0.008049
64.21875,0.007912
64.375,0.004555
64.53125,0.006576
64.6875,0.009796
64.84375,0.007809
65,0.004795
65.15625,0.017811
65.3125,0.022058
65.46875,0.010139
65.625,0.006542
65.78125,0.01007
65.9375,0.011029
66.09375,0.010824
66.25,0.010687
66.40625,0.008494
66.5625,0.010687
66.71875,0.011029
66.875,0.006405
67.03125,0.005652
67.1875,0.007261
67.34375,0.015619
67.5,0.019592
67.65625,0.023017
67.8125,0.030416
67.96875,0.011509
68.125,0.005515
68.28125,0.005652
68.4375,0.009728
68.59375,0.009796
